uid,name,longitude,latitude,free_bikes,empty_slots,entertainment,education,dining,park,shopping,metro_station,library,financial
132,132 - Escola Eleva,-43.17946,-22.953549,18,0,1,7,3,0,79,0,1,2
131,131 - MetrÃ´ Botafogo,-43.184037,-22.951815,4,17,1,6,4,0,88,0,1,2
134,134 - PÃ£o de AÃ§Ãºcar,-43.16483,-22.954261,7,13,1,5,7,0,0,0,0,0
139,139 - Buarque de Macedo,-43.173929,-22.929609,12,0,2,5,6,4,19,0,0,0
138,138 - PraÃ§a JosÃ© de Alencar,-43.177603,-22.933479,4,10,2,7,8,4,23,0,0,0
166,166 - Rabicho Tijuca,-43.235231,-22.925892,3,7,2,13,1,0,79,0,0,1
160,160 - Lineu de Paula Machado,-43.216241,-22.964274,13,2,2,2,11,4,2,0,0,0
161,161 - Jd. BotÃ¢nico 716,-43.218812,-22.965475,5,6,3,1,10,4,2,0,0,0
163,163 - ViÃºva Lacerda,-43.198877,-22.957188,0,16,2,3,7,0,21,0,0,0
285,285 - GlÃ¡ucio Gil Praia,-43.457011,-23.025158,5,6,0,0,0,0,0,0,0,0
119,119 - Parque Lage,-43.211659,-22.961231,9,1,0,2,10,1,3,0,0,0
120,120 - Rua da Passagem,-43.182368,-22.952383,6,17,2,7,3,0,83,0,1,2
121,121 - Mourisco,-43.180933,-22.949665,6,14,1,9,4,0,83,0,1,2
123,123 - Bambina,-43.185834,-22.949209,0,14,2,8,8,1,88,0,1,2
124,124 - PraÃ§a Joia Valansi,-43.183939,-22.945302,7,7,0,11,6,1,57,0,1,2
126,126 - Clarice Ãndio do Brasil,-43.178655,-22.940035,0,13,1,7,5,2,44,0,0,2
127,127 - HonÃ³rio de Barros,-43.176488,-22.939106,7,7,1,6,6,2,45,0,0,2
128,128 - PalÃ¡cio da Cidade,-43.193996,-22.951258,0,22,2,4,5,1,34,0,0,0
129,129 - VoluntÃ¡rios 229,-43.189421,-22.953276,0,9,2,5,6,1,64,0,1,2
167,167 - MetrÃ´ Saens Pena,-43.232603,-22.924436,5,22,2,11,1,0,73,0,0,1
299,309 - AQWA Corporate,-43.196273,-22.893595,3,8,0,0,0,0,4,0,2,0
290,290 - Barra World,-43.441094,-23.00989,0,11,0,0,0,1,4,0,0,0
164,164 - Shopping Tijuca,-43.236022,-22.921632,6,10,2,13,1,0,74,0,0,2
179,179 - Haddock Lobo,-43.21863,-22.920984,12,2,1,12,0,0,15,0,0,2
195,195 - Senador Muniz Freire,-43.240144,-22.921017,0,15,1,15,1,0,73,0,0,2
194,194 - BatalhÃ£o de PolÃ­cia do ExÃ©rcito,-43.238897,-22.924204,10,7,1,11,1,0,74,0,0,1
197,197 - OctacÃ­lio NegrÃ£o de Lima,-43.241554,-22.917976,7,6,0,13,1,0,69,0,0,2
178,178 - PraÃ§a da Bandeira,-43.215234,-22.912239,7,10,3,15,0,1,44,0,0,4
190,190 - MetrÃ´ Afonso Pena,-43.217588,-22.91793,9,21,1,14,0,0,12,0,0,3
193,193 - Uruguai,-43.243501,-22.928671,0,13,1,9,1,0,68,0,0,0
192,192 - Saens Pena Medical Center,-43.229355,-22.923702,5,6,1,9,1,0,71,0,0,1
227,227 - Saara Buenos Aires,-43.185103,-22.905364,3,6,12,12,10,2,79,1,4,3
88,88 - BarÃ£o da Torre 577,-43.209327,-22.982969,10,7,3,5,21,1,47,0,0,3
89,89 - PraÃ§a Nossa Senhora da Paz,-43.206539,-22.98424,13,0,1,5,22,1,42,1,0,1
112,112 - Mureta da Urca,-43.167521,-22.950328,12,3,0,6,3,0,27,0,0,0
87,87 - BarÃ£o da Torre 631,-43.212324,-22.9828,6,13,3,2,19,0,45,0,0,2
84,84 - Ataulfo de Paiva,-43.219619,-22.983846,10,0,7,2,24,2,44,0,0,3
85,85 - Jardim de Alah,-43.215927,-22.983844,9,14,3,2,22,0,39,0,0,2
