uid,name,longitude,latitude,free_bikes,empty_slots
165,165 - Tijuca off shopping,-43.235984,-22.923657,5,8
219,219 - Moncorvo Filho,-43.192116,-22.909863,5,12
133,133 - Pasteur,-43.168657,-22.954075,9,5
132,132 - Escola Eleva,-43.17946,-22.953549,18,0
131,131 - Metrô Botafogo,-43.184037,-22.951815,4,17
134,134 - Pão de Açúcar,-43.16483,-22.954261,7,13
139,139 - Buarque de Macedo,-43.173929,-22.929609,12,0
138,138 - Praça José de Alencar,-43.177603,-22.933479,4,10
166,166 - Rabicho Tijuca,-43.235231,-22.925892,3,7
160,160 - Lineu de Paula Machado,-43.216241,-22.964274,13,2
161,161 - Jd. Botânico 716,-43.218812,-22.965475,5,6
163,163 - Viúva Lacerda,-43.198877,-22.957188,0,16
285,285 - Gláucio Gil Praia,-43.457011,-23.025158,5,6
119,119 - Parque Lage,-43.211659,-22.961231,9,1
120,120 - Rua da Passagem,-43.182368,-22.952383,6,17
121,121 - Mourisco,-43.180933,-22.949665,6,14
123,123 - Bambina,-43.185834,-22.949209,0,14
124,124 - Praça Joia Valansi,-43.183939,-22.945302,7,7
126,126 - Clarice Índio do Brasil,-43.178655,-22.940035,0,13
127,127 - Honório de Barros,-43.176488,-22.939106,7,7
128,128 - Palácio da Cidade,-43.193996,-22.951258,0,22
129,129 - Voluntários 229,-43.189421,-22.953276,0,9
167,167 - Metrô Saens Pena,-43.232603,-22.924436,5,22
299,309 - AQWA Corporate,-43.196273,-22.893595,3,8
290,290 - Barra World,-43.441094,-23.00989,0,11
164,164 - Shopping Tijuca,-43.236022,-22.921632,6,10
179,179 - Haddock Lobo,-43.21863,-22.920984,12,2
195,195 - Senador Muniz Freire,-43.240144,-22.921017,0,15
194,194 - Batalhão de Polícia do Exército,-43.238897,-22.924204,10,7
197,197 - Octacílio Negrão de Lima,-43.241554,-22.917976,7,6
178,178 - Praça da Bandeira,-43.215234,-22.912239,7,10
190,190 - Metrô Afonso Pena,-43.217588,-22.91793,9,21
193,193 - Uruguai,-43.243501,-22.928671,0,13
192,192 - Saens Pena Medical Center,-43.229355,-22.923702,5,6
227,227 - Saara Buenos Aires,-43.185103,-22.905364,3,6
88,88 - Barão da Torre 577,-43.209327,-22.982969,10,7
89,89 - Praça Nossa Senhora da Paz,-43.206539,-22.98424,13,0
112,112 - Mureta da Urca,-43.167521,-22.950328,12,3
87,87 - Barão da Torre 631,-43.212324,-22.9828,6,13
