uid,name,longitude,latitude,free_bikes,empty_slots
256,256 - Humaitá,-43.202726,-22.960477,6,9
206,206 - Tribunal Marítimo,-43.174971,-22.901348,4,10
226,226 - Rua do Rezende,-43.188012,-22.913766,21,2
177,177 - Senador Furtado,-43.220415,-22.910341,4,11
247,247 - Praça Pimentinha,-43.325224,-23.003723,18,0
255,255 - Praça Euvaldo Lodi,-43.304132,-23.008688,9,2
225,225 - República do Líbano,-43.185757,-22.907336,4,7
102,102 - Metrô Cantagalo,-43.194224,-22.976476,17,9
103,103 - Barão de Ipanema,-43.190964,-22.974293,9,1
101,101 - Leopoldo Miguez,-43.19171,-22.977519,13,5
107,107 - Figueiredo Magalhães,-43.189412,-22.966082,18,1
104,104 - Assunção,-43.185984,-22.943651,7,4
105,105 - Dias da Rocha,-43.188691,-22.973054,10,7
252,252 - Parque das Rosas,-43.351815,-23.000749,10,9
205,205 - Praça Barão de Ladário,-43.176871,-22.898935,2,14
223,223 - Henrique Valadares,-43.185822,-22.911129,17,0
175,175 - Félix da Cunha,-43.222357,-22.922963,7,12
174,174 - São Cristóvão,-43.223474,-22.910887,9,6
173,173 - SENAI Tijuca,-43.232327,-22.915517,5,10
172,172 - Maracanãzinho,-43.229358,-22.91525,6,5
170,170 - Pereira de Siqueira,-43.22737,-22.920778,5,6
222,222 - Rua do Senado,-43.189274,-22.910626,17,0
181,181 - Júlio do Carmo,-43.202407,-22.910538,7,5
253,253 - Olegário Maciel,-43.305169,-23.012581,10,1
248,248 - Downtown,-43.320717,-23.00429,11,2
182,182 - Metrô Praça Onze,-43.200089,-22.909654,1,18
162,162 - Pacheco Leão,-43.222501,-22.965293,11,4
184,184 - Cinelândia,-43.175531,-22.910896,14,3
220,220 - Santuário Nossa Senhora de Fátima,-43.19205,-22.912412,15,0
186,186 - Lúcio de Mendonça,-43.224546,-22.915451,7,4
188,188 - Metrô São Francisco Xavier,-43.222574,-22.920432,5,12
189,189 - Mariz e Barros,-43.21935,-22.914512,3,12
202,202 - Armazém 3,-43.186436,-22.89476,7,12
196,196 - Ribeiro Guimarães,-43.237611,-22.918668,1,14
221,221 - Rua do Riachuelo,-43.185165,-22.914633,14,1
99,99 - Sá Ferreira,-43.195018,-22.981934,10,1
98,98 - Bulhões de Carvalho,-43.193377,-22.984628,0,0
168,168 - Barão de Mesquita 174,-43.231908,-22.920885,9,10
169,169 - Conde de Bonfim 526,-43.236745,-22.928453,0,15
229,229 - Hotel Novo Mundo,-43.172841,-22.924956,2,15
228,228 - Praça do Itamaraty,-43.187208,-22.90346,2,17
91,91 - Visconde de Pirajá,-43.203105,-22.984406,6,3
90,90 - Joana Angélica,-43.205035,-22.984911,2,9
92,92 - Alberto de Campos,-43.202799,-22.981233,9,5
95,95 - General Osório,-43.197051,-22.984724,15,2
94,94 - Farme de Amoedo 118,-43.200572,-22.982509,4,10
97,97 - Júlio de Castilhos,-43.190429,-22.98388,11,1
250,250 - Professor Souza Araújo,-43.316902,-23.007213,7,4
116,116 - Praça do Lido,-43.175808,-22.96479,13,3
204,204 - São Bento,-43.179494,-22.898395,7,12
224,224 - Catedral Metropolitana,-43.180911,-22.909549,3,12
153,153 - Epitácio Pessoa,-43.211,-22.980478,9,8
152,152 - Parque Brig. Faria Lima,-43.217122,-22.978955,3,6
155,155 - Viaduto Saint Hilaire,-43.204214,-22.963035,17,1
154,154 - Curva do Calombo,-43.205277,-22.973872,15,0
157,157 - Borges de Medeiros,-43.207324,-22.962884,4,13
158,158 - Lagoa Vasco da Gama,-43.209233,-22.962989,6,12
207,207 - R. da Alfândega,-43.178977,-22.902055,6,17
203,203 - Praça Mauá,-43.181523,-22.896865,8,10
145,145 - Praça David Ben Gurion,-43.19026,-22.937868,8,7
143,143 - Fluminense,-43.184319,-22.93597,7,7
140,140 - Largo do Machado,-43.177714,-22.930687,23,6
141,141 - Barra Shopping,-43.356646,-22.999406,7,7
209,209 - Rua da Quitanda,-43.176561,-22.904005,4,11
208,208 - Av. Passos,-43.184297,-22.902012,11,6
149,149 - Rainha Guilhermina,-43.226655,-22.98522,12,3
263,263 - Almare,-43.357176,-23.010269,4,6
261,261 - Praça Soldado Geraldo da Cruz,-43.320955,-23.010153,2,11
267,267 - Terminal Alvorada Leste,-43.364566,-23.001951,11,7
233,233 - Parque Madureira II,-43.351914,-22.856222,13,14
180,180 - Joaquim Palhares,-43.21033,-22.91255,10,5
329,144 - Casas Casadas,-43.18853,-22.93517,14,1
330,151 - Shopping Leblon,-43.21791,-22.98214,3,8
171,171 - Colégio Militar,-43.22641,-22.91637,7,4
83,83 - Cupertino Durão,-43.220182,-22.986733,2,21
40,40 - Afrânio,-43.217517,-22.986212,0,19
38,38 - Garcia D'Ávila,-43.209282,-22.98582,6,17
113,113 - República do Peru,-43.18358,-22.965706,9,4
39,39 - Aníbal de Mendonça,-43.211511,-22.98545,3,8
176,176 - Radial Oeste,-43.222438,-22.910669,1,14
244,244 - Condomínio Vivendas,-43.339543,-23.010233,3,7
246,246 - Barrabella,-43.345015,-23.010119,3,10
293,293 - Praia da Macumba,-43.479584,-23.03135,9,6
257,257 - Metrô Jardim Oceânico,-43.310954,-23.007348,23,0
70,70 - Praça São Salvador,-43.1798,-22.93403,6,17
201,201 - AquaRio,-43.19325,-22.892672,2,13
337,251 - Campo de São Cristóvão,-43.21942,-22.89841,15,4
338,288 - Campo de São Cristóvão 2,-43.22044,-22.89562,23,0
304,304 - Marechal Jofre,-43.265701,-22.918949,7,0
336,318 - Maxwell 431,-43.247541,-22.922514,12,3
340,243 - Rua São Cristóvão,-43.21728,-22.901789,7,8
343,320 - Silva Pinto,-43.2477,-22.9163,8,6
342,302 - Voluntários da Pátria,-43.18683,-22.95221,0,11
314,314 - AABB Tijuca,-43.21365,-22.91919,7,10
347,353 - Janeiro Hotel,-43.22268,-22.98659,11,7
339,322 - Tijolinho,-43.25157,-22.924527,11,6
295,295 - Clube Caiçaras,-43.2132,-22.98063,11,6
313,344 - Pirajá 153,-43.199943,-22.984553,6,5
352,328 - Chafariz do Lagarto,-43.19511,-22.91173,10,0
351,312 - Lavradio,-43.1832,-22.90921,3,13
305,335 - Teófilo Otoni,-43.17902,-22.90013,17,6
349,130 - General Glicério,-43.19166,-22.94019,7,3
350,310 - Bairro de Fátima,-43.18829,-22.91656,15,2
353,211 - Quinta da Boa Vista,-43.222671,-22.909385,8,7
357,291 - Paróquia de São Cristóvão,-43.215529,-22.895927,6,11
356,284 - Praça Waldemar Costa e Silva,-43.217758,-22.907086,10,5
354,218 - Praça Pedro II,-43.218258,-22.904475,5,6
355,258 - Largo Pedro Lobiano,-43.222834,-22.899794,6,5
362,341 - Colégio Sion,-43.19518,-22.93822,19,4
361,325 - Praça Condessa Paulo de Frontin,-43.2092,-22.92444,16,1
364,315 - E. M. Mário Cláudio,-43.21128,-22.91744,23,0
366,321 - Boulevard Rio Shopping,-43.25074,-22.91878,9,7
367,327 - McDonald's Off Shopping,-43.23444,-22.92302,0,23
363,275 - ASBAC,-43.25465,-22.92402,6,4
372,340 - Praia de Botafogo,-43.18253,-22.94583,7,7
373,301 - Bartolomeu Portela,-43.17622,-22.95085,12,1
71,343 - Domingos Ferreira,-43.185557,-22.971272,9,6
287,287 - Dez e meio,-43.463301,-23.02722,5,3
148,148 - Bartolomeu Mitre,-43.223721,-22.981574,8,7
111,111 - Siqueira Campos,-43.183725,-22.970306,14,3
28,28 - Praça Demétrio Ribeiro,-43.175519,-22.961823,23,3
150,150 - Praça Atahualpa,-43.227707,-22.988057,12,0
46,46 - Clube Piraquê,-43.216724,-22.96642,9,14
262,262 - Jardim Marapendi,-43.35092,-23.01011,8,7
375,346 - Av. Maracanã,-43.231146,-22.917395,10,5
376,357 - Teodoro da Silva,-43.2570098,-22.9198552,5,4
374,300 - Fernandes Guimarães,-43.1824354,-22.9547326,5,8
377,249 - Edifício São Januário,-43.2259274,-22.898963,19,0
25,25 - UFRJ Praia Vermelha,-43.1763587,-22.9529579,8,11
379,72 - Promenade São Clemente,-43.1909853,-22.949928,10,6
370,303 - Carvalho de Mendonça,-43.17886,-22.96564,14,3
24,24 - Lauro Müller,-43.177169,-22.956292,7,14
52,52 - Medalha Milagrosa,-43.212431,-22.915634,15,0
82,82 - Antero de Quental,-43.223151,-22.984952,27,1
383,323 - Rua do Bispo,-43.2131325,-22.923537,10,1
369,292 - Praça Desembargador Araújo Jorge,-43.2972309,-23.0103797,11,6
381,245 - Rua Sabino Vieira,-43.225704,-22.901672,9,6
382,319 - Visconde de Abaeté,-43.243872,-22.9158049,9,6
185,185 - Rua da Lapa,-43.177851,-22.915535,6,10
100,100 - Souza Lima,-43.190875,-22.981799,7,4
384,106 - VLT Rodoviária,-43.2074682,-22.8991715,11,4
76,76 - Baixo Gávea,-43.2252855,-22.9731047,2,15
93,93 - Praça Nossa Senhora Auxiliadora,-43.2220416,-22.9778842,11,4
371,311 - Sinuca da Lapa,-43.1823567,-22.9141346,9,3
183,183 - Defensoria Pública,-43.169304,-22.9088639,0,15
200,200 - Armazém da Utopia,-43.19071100000001,-22.8932617,0,15
360,324 - Aristides Lobo,-43.2087311,-22.920515,9,2
365,316 - Extra Maracanã,-43.2397442,-22.9278852,1,10
61,61 - SESC Tijuca,-43.2422748,-22.9243556,5,12
391,270 - Praça Professor Francisco D'Áuria,-43.2588392,-22.923931,4,9
404,350 - Hilário de Gouvêia,-43.18286,-22.96971,21,2
358,317 - HUPE,-43.23741,-22.91383,6,8
125,125 - Edifício Argentina,-43.180859,-22.942719,6,13
122,122 - Botafogo Praia Shopping,-43.182595,-22.947821,3,12
254,254 - Museu do amanhã,-43.180564,-22.896688,4,6
232,232 - Parque Madureira I,-43.340157,-22.870154,20,9
187,187 - Extra Mariz e Barros,-43.223971,-22.91791,9,8
378,354 - Quinta D'Or,-43.2203959,-22.9057994,8,7
416,358 - Praça Gabriel Soares,-43.2344362,-22.9309236,6,9
389,71 - Palácio Guanabara,-43.18317,-22.93894,6,5
146,146 - Planetário da Gávea,-43.23102,-22.979209,11,4
96,96 - Posto 6,-43.189385,-22.986497,9,9
11,11 - Praça Luiz de Camões,-43.1746,-22.92074,8,9
137,137 - Tucumam,-43.1744096,-22.9353419,11,8
17,17 - Oswaldo Cruz,-43.173577,-22.938452,10,9
442,349 - Instituto Benjamin Constant,-43.17109629523261,-22.953379467196385,1,9
421,216 - Maison Laranjeiras,-43.18356057861562,-22.933015735629855,2,18
142,142 - Praia do Flamengo,-43.173542,-22.927129,5,9
264,264 - Alfa Barra,-43.364867,-23.010788,5,5
241,241 - Posto 4 Barra,-43.325769,-23.011268,3,12
240,240 - Windsor Barra,-43.3212711,-23.0121746,2,11
