uid,entertainment,education,dining,park,shopping,metro_station,library,bank,atm,creditunion
391,0,50,28,5,7,0,3,27,0,26
404,20,50,50,5,20,4,7,50,6,50
358,10,50,50,7,5,1,24,50,5,50
125,8,50,50,9,14,0,13,50,7,50
122,13,50,50,8,14,0,13,50,5,50
254,10,50,50,1,23,2,17,50,3,50
232,0,50,45,1,14,0,2,50,2,50
187,4,50,50,9,6,1,13,50,2,50
378,3,50,36,3,0,0,10,50,5,50
416,4,50,50,9,15,1,5,50,7,50
389,9,50,50,14,20,0,14,50,11,50
146,24,50,50,10,5,1,10,50,1,50
96,27,50,43,10,10,1,4,43,1,40
11,10,50,28,12,5,1,6,50,2,50
137,9,50,48,15,16,0,11,50,9,50
17,4,50,32,14,14,0,11,50,8,50
442,4,50,46,5,10,0,10,50,2,49
421,10,50,50,13,15,0,14,50,9,50
142,7,50,50,16,14,1,6,50,4,50
264,2,12,10,2,1,0,0,8,0,8
241,2,50,15,9,3,0,0,17,1,16
240,3,50,29,9,7,0,0,22,1,21
235,1,50,18,1,3,0,2,33,9,26
234,1,50,16,1,2,0,2,24,5,20
237,2,50,22,1,6,1,1,40,6,32
238,2,50,19,2,6,1,1,21,3,16
236,2,50,20,1,3,1,0,33,6,27
239,2,49,17,5,4,1,1,13,2,10
242,0,24,8,9,2,0,0,11,0,10
259,3,12,3,4,2,0,0,1,0,1
260,2,8,6,2,1,0,0,4,0,4
271,2,11,10,2,1,0,0,3,0,3
78,1,23,10,1,4,1,0,10,1,9
231,2,12,6,1,2,0,0,5,0,5
230,1,24,10,1,4,1,1,10,1,9
80,1,7,1,0,0,0,0,1,0,1
439,4,50,42,4,1,0,13,50,4,50
118,9,50,50,4,6,0,3,48,5,41
57,10,50,50,9,12,1,27,50,8,50
117,9,43,50,6,12,1,1,50,7,50
345,0,50,9,5,3,0,3,15,0,15
114,22,50,50,8,19,3,5,50,9,50
109,19,50,50,6,17,4,7,50,6,50
159,3,50,14,10,2,1,0,28,1,25
37,38,50,50,13,19,1,5,50,1,50
86,22,50,50,14,28,3,5,50,5,50
27,3,45,17,5,0,0,3,22,2,19
214,19,50,50,8,21,2,34,50,9,50
212,28,50,50,6,41,4,45,50,11,50
213,21,50,50,6,33,3,42,50,8,50
344,20,50,50,4,14,4,10,50,4,50
136,11,50,50,20,15,0,16,50,12,50
5,30,50,50,7,45,4,49,50,13,50
346,7,50,21,7,3,0,6,50,5,50
35,30,50,32,10,14,1,4,43,1,41
