name,full_address,rate,reviews
Churrascaria Carretão,"R. Visconde de Pirajá, 112,Rio de Janeiro - RJ 22410-000,Brazil",4.0,74
Bar Astor,"Av. Vieira Souto, 110,Rio de Janeiro - RJ 22420-000,Brazil",4.0,63
Sushi Leblon,"R. Dias Ferreira 256,Rio de Janeiro - RJ 22431-050,Brazil",4.0,62
TT Burger,"R. Francisco Otaviano, 67,Rio de Janeiro - RJ 22080-040,Brazil",4.0,60
Amir,"R. Ronald de Carvalho, 55,Rio de Janeiro - RJ 22021-020,Brazil",4.0,56
Pavão Azul,"R. Hilário de Gouveia, 71,Rio de Janeiro - RJ 22040-020,Brazil",4.0,54
Carretão,"R. Siqueira Campos, 23,Rio de Janeiro - RJ 22031-071,Brazil",4.0,47
JW Marriott Hotel Rio de Janeiro,"Avenida Atlantica, 2600, Copacabana,Rio de Janeiro - RJ 22041-001,Brazil",4.0,46
Zuka,"R. Dias Ferreira, 233B,Leblon,Rio de Janeiro - RJ 22431-050,Brazil",4.0,41
Sheraton Grand Rio Hotel & Resort,"Avenida Niemeyer 121 - Leblon,Rio de Janeiro - RJ 22450-220,Brazil",4.0,38
Bazzar à Vins,"Rua Garcia D'Ávila 118,Ipanema - RJ 22411003,Brazil",4.0,33
Satyricon,"R. Barão da Torre, 192,Rio de Janeiro - RJ 22411-000,Brazil",4.0,31
Espírito Santa Restaurante,"R. Alm. Alexandrino, 264,Santa Teresa,Rio de Janeiro - RJ 20241-260,Brazil",4.0,29
Nova Capela,"Av. Mem de Sá, 96,Rio de Janeiro - RJ 20230-152,Brazil",4.0,26
Restaurante Shirley,"R. Gustavo Sampaio, 610,Rio de Janeiro - RJ 22010-010,Brazil",4.0,26
Botequim Informal,"Av. Nossa Senhora de Copacabana, 434,Rio de Janeiro - RJ 22020-001,Brazil",4.0,25
Irajá Gastrô,"R. Conde de Irajá, 109,Rio de Janeiro - RJ 22271-020,Brazil",4.0,23
Shopping Leblon,"Av. Afrânio de Melo Franco, 290,Rio de Janeiro - RJ 22430-060,Brazil",4.0,23
Galetos Copa Rio,"R. Júlio de Castilhos, 33,Loja A,Copacabana,Rio de Janeiro - RJ 22081-025,Brazil",4.0,23
Mee,"Belmond Copacabana Palace,Av. Atlântica, 1702,Rio de Janeiro - RJ 22021-001,Brazil",4.0,22
Rubaiyat Rio,"R. Jardim Botânico, 971,Rio de Janeiro - RJ 22470-051,Brazil",4.0,21
Broz,"R. Marquês de Abrantes, 216,Rio de Janeiro - RJ 22230-061,Brazil",4.0,21
Garota,"Av. João Luís Alves, 56,Loja A-B,Rio de Janeiro - RJ 22291-090,Brazil",4.0,21
Casa da Cachaça,"Av. Mem de Sá, 110,Loja B,Rio de Janeiro - RJ 20230-152,Brazil",4.0,20
Outback Steakhouse,"Shopping Tijuca,Av. Maracanã, 987,Rio de Janeiro - RJ 20511-000,Brazil",4.0,20
Joaquina,"Av. Atlântica, 974,Rio de Janeiro - RJ,Brazil",4.0,20
Arena Copacabana Hotel,"Av. Atlantica, 2064,Rio de Janeiro - RJ 22021-001,Brazil",4.0,19
Plage Café,"R. Jardim Botanico, 414,Parque Lage,Rio de Janeiro - RJ 22461-000,Brazil",4.0,18
Formidable,"R. João Lira, 148,Rio de Janeiro - RJ 22430-210,Brazil",4.0,17
La Fiorentina,"Av. Atlântica, 458,Rio de Janeiro - RJ 22010-000,Brazil",4.0,16
Churrascaria Carretão do Lido,"R. Ronald Carvalho, 55,Loja A-B,Rio de Janeiro - RJ 22021-020,Brazil",4.0,16
Bar D´Hôtel,"Av. Delfim Moreira, 696,Rio de Janeiro - RJ 22441-000,Brazil",4.0,15
Mr. Lam,"R. Maria Angélica, 21,Rio de Janeiro - RJ 22470-201,Brazil",4.0,15
Olympe,"R. Custódio Serrão, 62,Lagoa,Rio de Janeiro - RJ 22470-230,Brazil",4.0,14
La Maison,"Av. Atlântica, 2634,Rio de Janeiro - RJ 22041-001,Brazil",4.0,13
Hotel Fasano,"Av. Vieira Souto, 80,Rio de Janeiro - RJ 22420-002,Brazil",4.0,13
Barraca da Chiquita,"R. Santa Clara, 33,Rio de Janeiro - RJ 22041-012,Brazil",4.0,11
Gurumê Ipanema,"Rua Aníbal de Mendonça, 132,Ipanema,Rio de Janeiro - RJ 22410-050,Brazil",4.0,10
Estrela do Sul,"Pr de Botafogo 488,Rio de Janeiro - RJ 22250-040,Brazil",4.0,8
Cine Botequim,"R. Conselheiro Saraiva 39,Rio de Janeiro - RJ 20091-030,Brazil",4.0,8
Apetite Café,"Av. Rainha Elizabeth, 122,Rio de Janeiro - RJ 22081-031,Brazil",4.0,8
Pomar Orgânico,"Estrada da Barra da Tijuca, 1636,Bloco C,Loja A,Rio de Janeiro - RJ 22641-003,Brazil",4.0,8
Filet e Folhas,"Av. Rio Branco, 1,Rio de Janeiro - RJ 20090-003,Brazil",4.0,7
Restaurante Vegetariano Social Club,"R. Conde Bernadotte, 26,Rio de Janeiro - RJ 22430-200,Brazil",4.0,5
Best Western Premier Arpoador Fashion Hotel,"R. Bulhões de Carvalho, 337,Rio de Janeiro - RJ 22081-000,Brazil",4.0,5
Eleven Rio,"R. Frei Leandro, 20,Lagoa,Rio de Janeiro - RJ 22470-210,Brazil",4.0,5
Salomé Bistrô,"Av. Atlântica, 994,Rio de Janeiro - RJ 22010-000,Brazil",4.0,5
Bar do Italiano,"R. Bambina 180,Rio de Janeiro - RJ 22251-050,Brazil",4.0,4
Garota da Gávea,"Pça. Santos Dumont, 148,Rio de Janeiro - RJ 22470-060,Brazil",4.0,3
Laranjada Americana,"R. Buenos Aires 2 lj C,Rio de Janeiro - RJ 20070-022,Brazil",4.0,1
Pissani,"Shopping Gávea,R. Marques de São Vicente, 29052,Rio de Janeiro - RJ 22451-040,Brazil",4.0,1
La Trattoria,"R. Fernando Mendes, 7,Loja A,Copacabana,Rio de Janeiro - RJ 22021-030,Brazil",3.5,31
Alessandro e Frederico Café,"R. Garcia de Ávila, 134,Loja D,Rio de Janeiro - RJ 22421-010,Brazil",3.5,28
Casa da Feijoada,"R. Prudente de Moraes, 10,Rio de Janeiro - RJ 22420-010,Brazil",3.5,27
Barzin,"R. Vinícius de Moraes, 75,Rio de Janeiro - RJ 22410-040,Brazil",3.5,23
Academia da Cachaça,"R. Conde Bernadotte, 26,Rio de Janeiro - RJ 22430-200,Brazil",3.5,22
Chon Kou,"Av. Atlântica, 3880,Sobreloja,Rio de Janeiro - RJ 22070-002,Brazil",3.5,19
Príncipe de Mônaco,"R. Miguel Lemos, 18,Rio de Janeiro - RJ 22071-000,Brazil",3.5,17
Capricciosa,"R. Vinícius de Moraes 134,Ipanema,Rio de Janeiro - RJ 22411-010,Brazil",3.5,17
Umê Sushi,"R. Souza Lima, 121,Rio de Janeiro - RJ 22070-012,Brazil",3.5,16
Sindicato do Chopp,"Av. Atlântica, 514,Rio de Janeiro - RJ 22420-020,Brazil",3.5,10
Bar do Beto,"R. Farme de Amoedo, 51,Rio de Janeiro - RJ 22420-020,Brazil",3.5,9
Portella,"R. Paschoal Carlos Magno, 139,Rio de Janeiro - RJ,Brazil",3.5,9
Museu da República,"R. do Catete, 153,Rio de Janeiro - RJ 22220-000,Brazil",3.5,9
Stravaganze Pizzaria,"R. Maria Quitéria, 132,Rio de Janeiro - RJ 22410-040,Brazil",3.5,9
Esplanada Grill,"R. Barão da Torre, 600,Rio de Janeiro - RJ 22411-002,Brazil",3.5,7
